order_id,order_dt,store_code,channel,customer_ext_id,currency
100000,2025-08-30,MILAN_CHANEL_05,E_COM,CUST_013395,SGD
100001,2025-08-11,SINGAPORE_CHANEL_10,BOUTIQUE,CUST_010966,EUR
100002,2025-08-11,LONDRES_CHANEL_02,E_COM,CUST_009311,GBP
100003,2025-08-24,SINGAPORE_CHANEL_10,BOUTIQUE,CUST_010924,EUR
100004,2025-08-19,NEWYORK_CHANEL_03,E_COM,CUST_010166,KRW
100005,2025-08-23,MADRID_CHANEL_07,BOUTIQUE,CUST_019499,KRW
100006,2025-08-31,LONDRES_CHANEL_02,E_COM,CUST_018315,JPY
100007,2025-08-21,DUBAI_CHANEL_06,BOUTIQUE,CUST_017249,EUR
100008,2025-08-21,MADRID_CHANEL_07,E_COM,CUST_000598,GBP
100009,2025-08-10,NEWYORK_CHANEL_03,BOUTIQUE,CUST_011198,SGD
100010,2025-08-16,TOKYO_CHANEL_04,BOUTIQUE,CUST_004508,USD
100011,2025-08-03,MILAN_CHANEL_05,BOUTIQUE,CUST_016636,SGD
100012,2025-08-18,SEOUL_CHANEL_09,BOUTIQUE,CUST_011036,SGD
100013,2025-08-20,NEWYORK_CHANEL_03,E_COM,CUST_005055,USD
100014,2025-08-06,SINGAPORE_CHANEL_10,BOUTIQUE,CUST_014342,EUR
100015,2025-08-14,DUBAI_CHANEL_06,BOUTIQUE,CUST_014556,AED
100016,2025-08-10,BERLIN_CHANEL_08,BOUTIQUE,CUST_017499,USD
100017,2025-08-10,BERLIN_CHANEL_08,BOUTIQUE,CUST_012054,KRW
100018,2025-08-31,SINGAPORE_CHANEL_10,E_COM,CUST_015129,SGD
100019,2025-08-10,MADRID_CHANEL_07,E_COM,CUST_005311,SGD
100020,2025-08-07,SINGAPORE_CHANEL_10,BOUTIQUE,CUST_008193,EUR
100021,2025-08-21,BERLIN_CHANEL_08,E_COM,CUST_018172,EUR
100022,2025-08-23,SEOUL_CHANEL_09,BOUTIQUE,CUST_009341,EUR
100023,2025-08-25,NEWYORK_CHANEL_03,E_COM,CUST_014724,AED
100024,2025-08-05,MADRID_CHANEL_07,BOUTIQUE,CUST_007276,SGD
100025,2025-08-15,DUBAI_CHANEL_06,BOUTIQUE,CUST_013596,EUR
100026,2025-08-13,SEOUL_CHANEL_09,E_COM,CUST_007726,JPY
100027,2025-08-03,DUBAI_CHANEL_06,BOUTIQUE,CUST_000924,GBP
100028,2025-08-30,LONDRES_CHANEL_02,E_COM,CUST_004786,USD
100029,2025-08-02,MILAN_CHANEL_05,E_COM,CUST_004548,SGD
100030,2025-08-23,BERLIN_CHANEL_08,E_COM,CUST_000173,EUR
100031,2025-08-01,MILAN_CHANEL_05,BOUTIQUE,CUST_004900,AED
100032,2025-08-31,SINGAPORE_CHANEL_10,E_COM,CUST_003644,SGD
100033,2025-08-10,TOKYO_CHANEL_04,E_COM,CUST_003993,EUR
100034,2025-08-08,MADRID_CHANEL_07,E_COM,CUST_002059,EUR
100035,2025-08-27,BERLIN_CHANEL_08,BOUTIQUE,CUST_016888,AED
100036,2025-08-08,NEWYORK_CHANEL_03,E_COM,CUST_014066,EUR
100037,2025-08-20,DUBAI_CHANEL_06,BOUTIQUE,CUST_018700,JPY
100038,2025-08-06,LONDRES_CHANEL_02,E_COM,CUST_002218,AED
100039,2025-08-18,SEOUL_CHANEL_09,BOUTIQUE,CUST_012795,SGD
100040,2025-08-16,PARIS_CHANEL_01,E_COM,CUST_012233,GBP
100041,2025-08-24,PARIS_CHANEL_01,E_COM,CUST_002214,GBP
100042,2025-08-08,LONDRES_CHANEL_02,E_COM,CUST_004372,EUR
100043,2025-08-12,SEOUL_CHANEL_09,E_COM,CUST_005738,SGD
100044,2025-08-25,BERLIN_CHANEL_08,E_COM,CUST_005973,SGD
100045,2025-08-05,LONDRES_CHANEL_02,E_COM,CUST_001212,GBP
100046,2025-08-07,PARIS_CHANEL_01,BOUTIQUE,CUST_001374,GBP
100047,2025-08-30,MILAN_CHANEL_05,E_COM,CUST_017795,JPY
100048,2025-08-09,PARIS_CHANEL_01,BOUTIQUE,CUST_009376,GBP
100049,2025-08-28,PARIS_CHANEL_01,E_COM,CUST_008953,EUR
100050,2025-08-26,DUBAI_CHANEL_06,E_COM,CUST_013108,KRW
100051,2025-08-15,MADRID_CHANEL_07,E_COM,CUST_006122,JPY
100052,2025-08-23,BERLIN_CHANEL_08,E_COM,CUST_017016,GBP
100053,2025-08-26,LONDRES_CHANEL_02,E_COM,CUST_002587,JPY
100054,2025-08-20,NEWYORK_CHANEL_03,E_COM,CUST_010526,EUR
100055,2025-08-03,DUBAI_CHANEL_06,E_COM,CUST_010044,JPY
100056,2025-08-20,MADRID_CHANEL_07,BOUTIQUE,CUST_014546,GBP
100057,2025-08-15,PARIS_CHANEL_01,E_COM,CUST_014253,GBP
100058,2025-08-21,PARIS_CHANEL_01,BOUTIQUE,CUST_013311,GBP
100059,2025-08-17,NEWYORK_CHANEL_03,BOUTIQUE,CUST_004679,SGD
100060,2025-08-20,BERLIN_CHANEL_08,BOUTIQUE,CUST_004137,EUR
100061,2025-08-08,DUBAI_CHANEL_06,E_COM,CUST_012546,AED
100062,2025-08-02,SINGAPORE_CHANEL_10,BOUTIQUE,CUST_014744,GBP
100063,2025-08-12,BERLIN_CHANEL_08,BOUTIQUE,CUST_018807,USD
100064,2025-08-17,DUBAI_CHANEL_06,E_COM,CUST_010302,KRW
100065,2025-08-09,TOKYO_CHANEL_04,BOUTIQUE,CUST_000850,KRW
100066,2025-08-06,BERLIN_CHANEL_08,E_COM,CUST_018405,EUR
100067,2025-08-09,MILAN_CHANEL_05,E_COM,CUST_007032,AED
100068,2025-08-10,BERLIN_CHANEL_08,BOUTIQUE,CUST_004019,USD
100069,2025-08-28,LONDRES_CHANEL_02,E_COM,CUST_005658,KRW
100070,2025-08-15,LONDRES_CHANEL_02,E_COM,CUST_011385,KRW
100071,2025-08-03,SEOUL_CHANEL_09,E_COM,CUST_009829,SGD
100072,2025-08-06,NEWYORK_CHANEL_03,E_COM,CUST_016671,USD
100073,2025-08-04,TOKYO_CHANEL_04,BOUTIQUE,CUST_007758,SGD
100074,2025-08-16,PARIS_CHANEL_01,E_COM,CUST_018155,AED
100075,2025-08-12,BERLIN_CHANEL_08,BOUTIQUE,CUST_002826,EUR
100076,2025-08-10,MADRID_CHANEL_07,E_COM,CUST_017226,JPY
100077,2025-08-25,MADRID_CHANEL_07,BOUTIQUE,CUST_004107,GBP
100078,2025-08-21,LONDRES_CHANEL_02,E_COM,CUST_015265,KRW
100079,2025-08-17,DUBAI_CHANEL_06,BOUTIQUE,CUST_018066,KRW
100080,2025-08-19,NEWYORK_CHANEL_03,BOUTIQUE,CUST_014177,AED
100081,2025-08-30,PARIS_CHANEL_01,BOUTIQUE,CUST_016978,USD
100082,2025-08-10,NEWYORK_CHANEL_03,BOUTIQUE,CUST_010573,KRW
100083,2025-08-08,DUBAI_CHANEL_06,E_COM,CUST_002585,GBP
100084,2025-08-07,SEOUL_CHANEL_09,E_COM,CUST_004102,KRW
100085,2025-08-10,SINGAPORE_CHANEL_10,BOUTIQUE,CUST_016469,KRW
100086,2025-08-06,SINGAPORE_CHANEL_10,BOUTIQUE,CUST_005610,KRW
100087,2025-08-20,SINGAPORE_CHANEL_10,E_COM,CUST_018469,EUR
100088,2025-08-27,PARIS_CHANEL_01,BOUTIQUE,CUST_001490,KRW
100089,2025-08-25,SINGAPORE_CHANEL_10,E_COM,CUST_006908,SGD
100090,2025-08-19,MADRID_CHANEL_07,BOUTIQUE,CUST_016320,KRW
100091,2025-08-18,MILAN_CHANEL_05,E_COM,CUST_015826,USD
100092,2025-08-26,MADRID_CHANEL_07,E_COM,CUST_014862,EUR
100093,2025-08-23,PARIS_CHANEL_01,BOUTIQUE,CUST_014405,JPY
100094,2025-08-16,BERLIN_CHANEL_08,BOUTIQUE,CUST_011148,AED
100095,2025-08-05,DUBAI_CHANEL_06,E_COM,CUST_011318,JPY
100096,2025-08-05,DUBAI_CHANEL_06,BOUTIQUE,CUST_010457,USD
100097,2025-08-15,LONDRES_CHANEL_02,E_COM,CUST_014733,USD
100098,2025-08-05,LONDRES_CHANEL_02,BOUTIQUE,CUST_009510,JPY
100099,2025-08-28,SINGAPORE_CHANEL_10,E_COM,CUST_008136,SGD
100100,2025-08-29,NEWYORK_CHANEL_03,E_COM,CUST_018930,KRW
100101,2025-08-11,TOKYO_CHANEL_04,BOUTIQUE,CUST_016328,AED
100102,2025-08-15,BERLIN_CHANEL_08,E_COM,CUST_016298,EUR
100103,2025-08-03,MADRID_CHANEL_07,E_COM,CUST_007889,USD
100104,2025-08-19,DUBAI_CHANEL_06,BOUTIQUE,CUST_001657,GBP
100105,2025-08-16,SINGAPORE_CHANEL_10,E_COM,CUST_009364,AED
100106,2025-08-01,LONDRES_CHANEL_02,E_COM,CUST_004389,GBP
100107,2025-08-24,DUBAI_CHANEL_06,E_COM,CUST_011992,EUR
100108,2025-08-13,PARIS_CHANEL_01,BOUTIQUE,CUST_011880,AED
100109,2025-08-10,LONDRES_CHANEL_02,E_COM,CUST_016524,JPY
100110,2025-08-25,SEOUL_CHANEL_09,E_COM,CUST_003894,USD
100111,2025-08-04,MADRID_CHANEL_07,E_COM,CUST_011112,AED
100112,2025-08-31,DUBAI_CHANEL_06,BOUTIQUE,CUST_006523,AED
100113,2025-08-17,MADRID_CHANEL_07,BOUTIQUE,CUST_001485,EUR
100114,2025-08-05,DUBAI_CHANEL_06,E_COM,CUST_017018,JPY
100115,2025-08-05,SINGAPORE_CHANEL_10,BOUTIQUE,CUST_010747,AED
100116,2025-08-11,NEWYORK_CHANEL_03,E_COM,CUST_009806,AED
100117,2025-08-11,SEOUL_CHANEL_09,E_COM,CUST_018446,GBP
100118,2025-08-16,PARIS_CHANEL_01,E_COM,CUST_010855,KRW
100119,2025-08-04,MADRID_CHANEL_07,E_COM,CUST_000874,AED
100120,2025-08-16,MILAN_CHANEL_05,BOUTIQUE,CUST_001683,AED
100121,2025-08-16,NEWYORK_CHANEL_03,E_COM,CUST_004843,SGD
100122,2025-08-22,TOKYO_CHANEL_04,BOUTIQUE,CUST_018762,KRW
100123,2025-08-04,TOKYO_CHANEL_04,BOUTIQUE,CUST_014452,GBP
100124,2025-08-14,NEWYORK_CHANEL_03,E_COM,CUST_006682,JPY
100125,2025-08-17,SINGAPORE_CHANEL_10,E_COM,CUST_002041,KRW
100126,2025-08-05,SEOUL_CHANEL_09,BOUTIQUE,CUST_018380,GBP
100127,2025-08-22,BERLIN_CHANEL_08,E_COM,CUST_010282,USD
100128,2025-08-15,SEOUL_CHANEL_09,E_COM,CUST_017901,GBP
100129,2025-08-22,MILAN_CHANEL_05,E_COM,CUST_006301,USD
100130,2025-08-09,SEOUL_CHANEL_09,E_COM,CUST_007369,GBP
100131,2025-08-25,MILAN_CHANEL_05,BOUTIQUE,CUST_016024,GBP
100132,2025-08-16,DUBAI_CHANEL_06,E_COM,CUST_009431,EUR
